doc_id,content,data_type,meta_route_id,meta_wp_orden,meta_punto_de_paso,meta_tiempo,meta_altura,meta_latitud,meta_longitud,meta_table_idx,meta_pais,meta_region,meta_provincia,meta_comarca,meta_zona,meta_pueblo,meta_nombre_ruta,meta_categoria,meta_dificultad,meta_descripcion_dificultad,meta_distancia_total_km,meta_altitud_minima_m,meta_altitud_maxima_m,meta_desnivel_acumulado_pos,meta_desnivel_acumulado_neg,meta_tiempo_total_min,meta_Punto_salida_llegada,meta_poblacion_cercana,meta_link_archivo,meta_fecha
2_wp-5,"Waypoint 'Lago Llong', tiempo 1:30h, altura 2.000m, coordenadas 42.5721120º, 0.9476450º.",waypoint,2,5,Lago Llong,1:30h,2.000m,42.5721120º,0.9476450º,1,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Estany Llong y Portarró de Espot desde Aigüestortes,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,17.5,1824.0,2427.0,625.0,,330.0,Caseta de Aigüestortes,Boí,https://www.rutaspirineos.org/rutas/aiguestortes-estany-llong-redo-portarro-espot,11/11/2025
2_wp-6,"Waypoint 'Lago Redó', tiempo 2:30h, altura 2.110m, coordenadas 42.5796220º, 0.9581189º.",waypoint,2,6,Lago Redó,2:30h,2.110m,42.5796220º,0.9581189º,1,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Estany Llong y Portarró de Espot desde Aigüestortes,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,17.5,1824.0,2427.0,625.0,,330.0,Caseta de Aigüestortes,Boí,https://www.rutaspirineos.org/rutas/aiguestortes-estany-llong-redo-portarro-espot,11/11/2025
2_wp-7,"Waypoint 'Barranco del Portarró', tiempo 2:50h, altura 2.190m, coordenadas 42.5770290º, 0.9644430º.",waypoint,2,7,Barranco del Portarró,2:50h,2.190m,42.5770290º,0.9644430º,1,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Estany Llong y Portarró de Espot desde Aigüestortes,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,17.5,1824.0,2427.0,625.0,,330.0,Caseta de Aigüestortes,Boí,https://www.rutaspirineos.org/rutas/aiguestortes-estany-llong-redo-portarro-espot,11/11/2025
2_wp-8,"Waypoint 'Portarró de Espot', tiempo 3:15h, altura 2.427m, coordenadas 42.5784990º, 0.9735059º.",waypoint,2,8,Portarró de Espot,3:15h,2.427m,42.5784990º,0.9735059º,1,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Estany Llong y Portarró de Espot desde Aigüestortes,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,17.5,1824.0,2427.0,625.0,,330.0,Caseta de Aigüestortes,Boí,https://www.rutaspirineos.org/rutas/aiguestortes-estany-llong-redo-portarro-espot,11/11/2025
2_wp-9,"Waypoint 'Caseta de información de Aigüestortes', tiempo 5:30h, altura 1.828m, coordenadas 42.5518014º, 0.9123587º.",waypoint,2,9,Caseta de información de Aigüestortes,5:30h,1.828m,42.5518014º,0.9123587º,1,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Estany Llong y Portarró de Espot desde Aigüestortes,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,17.5,1824.0,2427.0,625.0,,330.0,Caseta de Aigüestortes,Boí,https://www.rutaspirineos.org/rutas/aiguestortes-estany-llong-redo-portarro-espot,11/11/2025
3_wp-1,"Waypoint 'Madremanya - aparcamiento entrada', tiempo 0:00h, altura 170m, coordenadas 41.989845º, 2.955511º.",waypoint,3,1,Madremanya - aparcamiento entrada,0:00h,170m,41.989845º,2.955511º,1,España,Cataluña,Gerona,Gironés,Las Gavarres (Gironés),Madremanya,Al pie de las Gavarres desde Madremanya,Familias y niños;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.",7.6,111.0,180.0,143.0,,120.0,Entrada Madremanya,Madremanya,https://www.rutaspirineos.org/rutas/al-peu-de-les-gavarres-des-de-madremanya,11/11/2025
3_wp-2,"Waypoint 'Millàs', tiempo 0:25h, altura 115m, coordenadas 41.988511º, 2.970936º.",waypoint,3,2,Millàs,0:25h,115m,41.988511º,2.970936º,1,España,Cataluña,Gerona,Gironés,Las Gavarres (Gironés),Madremanya,Al pie de las Gavarres desde Madremanya,Familias y niños;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.",7.6,111.0,180.0,143.0,,120.0,Entrada Madremanya,Madremanya,https://www.rutaspirineos.org/rutas/al-peu-de-les-gavarres-des-de-madremanya,11/11/2025
3_wp-3,"Waypoint 'Cruce de caminos', tiempo 1:00h, altura 141m, coordenadas 41.999467º, 2.957820º.",waypoint,3,3,Cruce de caminos,1:00h,141m,41.999467º,2.957820º,1,España,Cataluña,Gerona,Gironés,Las Gavarres (Gironés),Madremanya,Al pie de las Gavarres desde Madremanya,Familias y niños;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.",7.6,111.0,180.0,143.0,,120.0,Entrada Madremanya,Madremanya,https://www.rutaspirineos.org/rutas/al-peu-de-les-gavarres-des-de-madremanya,11/11/2025
3_wp-4,"Waypoint 'Antiguo molino', tiempo 1:15h, altura 115m, coordenadas 42.005453º, 2.950060º.",waypoint,3,4,Antiguo molino,1:15h,115m,42.005453º,2.950060º,1,España,Cataluña,Gerona,Gironés,Las Gavarres (Gironés),Madremanya,Al pie de las Gavarres desde Madremanya,Familias y niños;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.",7.6,111.0,180.0,143.0,,120.0,Entrada Madremanya,Madremanya,https://www.rutaspirineos.org/rutas/al-peu-de-les-gavarres-des-de-madremanya,11/11/2025
3_wp-5,"Waypoint 'Madremanya - aparcamiento entrada', tiempo 2:00h, altura 170m, coordenadas 41.989845º, 2.955511º.",waypoint,3,5,Madremanya - aparcamiento entrada,2:00h,170m,41.989845º,2.955511º,1,España,Cataluña,Gerona,Gironés,Las Gavarres (Gironés),Madremanya,Al pie de las Gavarres desde Madremanya,Familias y niños;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.",7.6,111.0,180.0,143.0,,120.0,Entrada Madremanya,Madremanya,https://www.rutaspirineos.org/rutas/al-peu-de-les-gavarres-des-de-madremanya,11/11/2025
4_wp-1,"Waypoint 'El Cortalet', tiempo 0:00h, altura 2m, coordenadas 42.224419º, 3.092580º.",waypoint,4,1,El Cortalet,0:00h,2m,42.224419º,3.092580º,1,España,Cataluña,Gerona,Alto Ampurdán,La llanura ampurdanesa,Castellón de Ampurias,La Reserva Integral de Les Llaunes,"Flora y fauna;Rutas circulares;Lagos, ríos y cascadas;Familias y niños",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",8.2,1.0,2.0,2.0,,125.0,El Cortalet,Castellón de Ampurias,https://www.rutaspirineos.org/rutas/al-voltant-de-la-reserva-integral-de-les-llaunes,11/11/2025
4_wp-2,"Waypoint 'Desvío del Mas Matà', tiempo 0:25h, altura 1m, coordenadas 42.212799º, 3.099970º.",waypoint,4,2,Desvío del Mas Matà,0:25h,1m,42.212799º,3.099970º,1,España,Cataluña,Gerona,Alto Ampurdán,La llanura ampurdanesa,Castellón de Ampurias,La Reserva Integral de Les Llaunes,"Flora y fauna;Rutas circulares;Lagos, ríos y cascadas;Familias y niños",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",8.2,1.0,2.0,2.0,,125.0,El Cortalet,Castellón de Ampurias,https://www.rutaspirineos.org/rutas/al-voltant-de-la-reserva-integral-de-les-llaunes,11/11/2025
4_wp-3,"Waypoint 'Playa', tiempo 0:45h, altura 1m, coordenadas 42.206181º, 3.111230º.",waypoint,4,3,Playa,0:45h,1m,42.206181º,3.111230º,1,España,Cataluña,Gerona,Alto Ampurdán,La llanura ampurdanesa,Castellón de Ampurias,La Reserva Integral de Les Llaunes,"Flora y fauna;Rutas circulares;Lagos, ríos y cascadas;Familias y niños",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",8.2,1.0,2.0,2.0,,125.0,El Cortalet,Castellón de Ampurias,https://www.rutaspirineos.org/rutas/al-voltant-de-la-reserva-integral-de-les-llaunes,11/11/2025
4_wp-4,"Waypoint 'Aparcamiento de Can Comes', tiempo 1:20h, altura 1m, coordenadas 42.226561º, 3.118090º.",waypoint,4,4,Aparcamiento de Can Comes,1:20h,1m,42.226561º,3.118090º,1,España,Cataluña,Gerona,Alto Ampurdán,La llanura ampurdanesa,Castellón de Ampurias,La Reserva Integral de Les Llaunes,"Flora y fauna;Rutas circulares;Lagos, ríos y cascadas;Familias y niños",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",8.2,1.0,2.0,2.0,,125.0,El Cortalet,Castellón de Ampurias,https://www.rutaspirineos.org/rutas/al-voltant-de-la-reserva-integral-de-les-llaunes,11/11/2025
4_wp-5,"Waypoint 'Cruce de pistas de Can Comes', tiempo 1:40h, altura 2m, coordenadas 42.232663º, 3.106074º.",waypoint,4,5,Cruce de pistas de Can Comes,1:40h,2m,42.232663º,3.106074º,1,España,Cataluña,Gerona,Alto Ampurdán,La llanura ampurdanesa,Castellón de Ampurias,La Reserva Integral de Les Llaunes,"Flora y fauna;Rutas circulares;Lagos, ríos y cascadas;Familias y niños",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",8.2,1.0,2.0,2.0,,125.0,El Cortalet,Castellón de Ampurias,https://www.rutaspirineos.org/rutas/al-voltant-de-la-reserva-integral-de-les-llaunes,11/11/2025
4_wp-6,"Waypoint 'El Cortalet', tiempo 2:05h, altura 2m, coordenadas 42.224419º, 3.092580º.",waypoint,4,6,El Cortalet,2:05h,2m,42.224419º,3.092580º,1,España,Cataluña,Gerona,Alto Ampurdán,La llanura ampurdanesa,Castellón de Ampurias,La Reserva Integral de Les Llaunes,"Flora y fauna;Rutas circulares;Lagos, ríos y cascadas;Familias y niños",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",8.2,1.0,2.0,2.0,,125.0,El Cortalet,Castellón de Ampurias,https://www.rutaspirineos.org/rutas/al-voltant-de-la-reserva-integral-de-les-llaunes,11/11/2025
8_wp-1,"Waypoint 'Sort - Hotel Les Brases', tiempo 0:00h, altura 700m, coordenadas 42.4149000º, 1.1324230º.",waypoint,8,1,Sort - Hotel Les Brases,0:00h,700m,42.4149000º,1.1324230º,3,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Itinerario por el Batlliu de Sort,Familias y niños;Rutas circulares;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,12.8,700.0,1304.0,720.0,,230.0,Sort - Hotel Les Brases,Sort,https://www.rutaspirineos.org/rutas/batlliu-de-sort,11/11/2025
8_wp-2,"Waypoint 'Fuente de Fontanilles', tiempo 1:00h, altura 985m, coordenadas 42.4270190º, 1.1182320º.",waypoint,8,2,Fuente de Fontanilles,1:00h,985m,42.4270190º,1.1182320º,3,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Itinerario por el Batlliu de Sort,Familias y niños;Rutas circulares;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,12.8,700.0,1304.0,720.0,,230.0,Sort - Hotel Les Brases,Sort,https://www.rutaspirineos.org/rutas/batlliu-de-sort,11/11/2025
8_wp-3,"Waypoint 'Olp', tiempo 1:15h, altura 1.095m, coordenadas 42.4301810º, 1.1146040º.",waypoint,8,3,Olp,1:15h,1.095m,42.4301810º,1.1146040º,3,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Itinerario por el Batlliu de Sort,Familias y niños;Rutas circulares;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,12.8,700.0,1304.0,720.0,,230.0,Sort - Hotel Les Brases,Sort,https://www.rutaspirineos.org/rutas/batlliu-de-sort,11/11/2025
8_wp-4,"Waypoint 'Pujalt', tiempo 2:00h, altura 1.162m, coordenadas 42.4162130º, 1.1100780º.",waypoint,8,4,Pujalt,2:00h,1.162m,42.4162130º,1.1100780º,3,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Itinerario por el Batlliu de Sort,Familias y niños;Rutas circulares;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,12.8,700.0,1304.0,720.0,,230.0,Sort - Hotel Les Brases,Sort,https://www.rutaspirineos.org/rutas/batlliu-de-sort,11/11/2025
8_wp-5,"Waypoint 'Ermita de Sant Roc', tiempo 2:30h, altura 1.304m, coordenadas 42.4045240º, 1.1062580º.",waypoint,8,5,Ermita de Sant Roc,2:30h,1.304m,42.4045240º,1.1062580º,3,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Itinerario por el Batlliu de Sort,Familias y niños;Rutas circulares;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,12.8,700.0,1304.0,720.0,,230.0,Sort - Hotel Les Brases,Sort,https://www.rutaspirineos.org/rutas/batlliu-de-sort,11/11/2025
8_wp-6,"Waypoint 'Enviny', tiempo 2:50h, altura 1.160m, coordenadas 42.4011330º, 1.1039880º.",waypoint,8,6,Enviny,2:50h,1.160m,42.4011330º,1.1039880º,3,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Itinerario por el Batlliu de Sort,Familias y niños;Rutas circulares;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,12.8,700.0,1304.0,720.0,,230.0,Sort - Hotel Les Brases,Sort,https://www.rutaspirineos.org/rutas/batlliu-de-sort,11/11/2025
8_wp-7,"Waypoint 'Bressui', tiempo 3:30h, altura 840m, coordenadas 42.4068240º, 1.1232250º.",waypoint,8,7,Bressui,3:30h,840m,42.4068240º,1.1232250º,3,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Itinerario por el Batlliu de Sort,Familias y niños;Rutas circulares;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,12.8,700.0,1304.0,720.0,,230.0,Sort - Hotel Les Brases,Sort,https://www.rutaspirineos.org/rutas/batlliu-de-sort,11/11/2025
8_wp-8,"Waypoint 'Sort - Hotel Les Brases', tiempo 3:50h, altura 700m, coordenadas 42.4149000º, 1.1324230º.",waypoint,8,8,Sort - Hotel Les Brases,3:50h,700m,42.4149000º,1.1324230º,3,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Itinerario por el Batlliu de Sort,Familias y niños;Rutas circulares;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,12.8,700.0,1304.0,720.0,,230.0,Sort - Hotel Les Brases,Sort,https://www.rutaspirineos.org/rutas/batlliu-de-sort,11/11/2025
9_wp-1,"Waypoint 'Beget', tiempo 0:00h, altura 533m, coordenadas 42.320881º, 2.480568º.",waypoint,9,1,Beget,0:00h,533m,42.320881º,2.480568º,2,España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,Beget,Beget y Rocabruna por caminos de contrabandistas,"Paisajes pintorescos;Rutas circulares;Patrimonio histórico;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,12.9,533.0,1.14,740.0,,240.0,Beget,Beget,https://www.rutaspirineos.org/rutas/beget-i-rocabruna-per-camins-de-contrabandistes,11/11/2025
9_wp-2,"Waypoint 'Collado de Malrem', tiempo 1:30h, altura 1.134m, coordenadas 42.341038º, 2.480850º.",waypoint,9,2,Collado de Malrem,1:30h,1.134m,42.341038º,2.480850º,2,España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,Beget,Beget y Rocabruna por caminos de contrabandistas,"Paisajes pintorescos;Rutas circulares;Patrimonio histórico;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,12.9,533.0,1.14,740.0,,240.0,Beget,Beget,https://www.rutaspirineos.org/rutas/beget-i-rocabruna-per-camins-de-contrabandistes,11/11/2025
9_wp-3,"Waypoint 'Carretera de Rocabruna', tiempo 2:10h, altura 905m, coordenadas 42.339207º, 2.460703º.",waypoint,9,3,Carretera de Rocabruna,2:10h,905m,42.339207º,2.460703º,2,España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,Beget,Beget y Rocabruna por caminos de contrabandistas,"Paisajes pintorescos;Rutas circulares;Patrimonio histórico;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,12.9,533.0,1.14,740.0,,240.0,Beget,Beget,https://www.rutaspirineos.org/rutas/beget-i-rocabruna-per-camins-de-contrabandistes,11/11/2025
9_wp-4,"Waypoint 'Can Tadeu', tiempo 2:25h, altura 948m, coordenadas 42.336327º, 2.455653º.",waypoint,9,4,Can Tadeu,2:25h,948m,42.336327º,2.455653º,2,España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,Beget,Beget y Rocabruna por caminos de contrabandistas,"Paisajes pintorescos;Rutas circulares;Patrimonio histórico;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,12.9,533.0,1.14,740.0,,240.0,Beget,Beget,https://www.rutaspirineos.org/rutas/beget-i-rocabruna-per-camins-de-contrabandistes,11/11/2025
9_wp-5,"Waypoint 'Castillo de Rocabruna', tiempo 2:40h, altura 997m, coordenadas 42.329666º, 2.453616º.",waypoint,9,5,Castillo de Rocabruna,2:40h,997m,42.329666º,2.453616º,2,España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,Beget,Beget y Rocabruna por caminos de contrabandistas,"Paisajes pintorescos;Rutas circulares;Patrimonio histórico;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,12.9,533.0,1.14,740.0,,240.0,Beget,Beget,https://www.rutaspirineos.org/rutas/beget-i-rocabruna-per-camins-de-contrabandistes,11/11/2025
9_wp-6,"Waypoint 'Molino de Sorolla', tiempo 3:00h, altura 828m, coordenadas 42.320881º, 2.448495º.",waypoint,9,6,Molino de Sorolla,3:00h,828m,42.320881º,2.448495º,2,España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,Beget,Beget y Rocabruna por caminos de contrabandistas,"Paisajes pintorescos;Rutas circulares;Patrimonio histórico;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,12.9,533.0,1.14,740.0,,240.0,Beget,Beget,https://www.rutaspirineos.org/rutas/beget-i-rocabruna-per-camins-de-contrabandistes,11/11/2025
9_wp-7,"Waypoint 'Beget', tiempo 4:00h, altura 533m, coordenadas 42.320881º, 2.480568º.",waypoint,9,7,Beget,4:00h,533m,42.320881º,2.480568º,2,España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,Beget,Beget y Rocabruna por caminos de contrabandistas,"Paisajes pintorescos;Rutas circulares;Patrimonio histórico;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,12.9,533.0,1.14,740.0,,240.0,Beget,Beget,https://www.rutaspirineos.org/rutas/beget-i-rocabruna-per-camins-de-contrabandistes,11/11/2025
