Pais,Region,Provincia,Comarca,Zona,Pueblo,Nombre de la ruta,Categoria,Dificultad,Descripcion dificultad,Distancia Total,Altitud minima,Altitud máxima,Desnivel acumulado,Tiempo total efectivo,Punto de salida / llegada,Población más cercana,Link archivo,Pdf_path,Fecha
España,Cataluña,Gerona,Garrotxa,La comarca de Olot,Vall de Bas,Puigsacalm (1.515m) y Puig dels Llops (1.486m) desde Joanetes,Rutas circulares;Ascensiones media montaña;Paisajes pintorescos,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"10,6 km",604,1.511,1.010m,7:40h,Iglesia de Sant Romà,Joanetes,https://www.rutaspirineos.org/rutas/puigsacalm-y-puig-dels-llops-desde-joanetes,True,11/11/2025
España,Cataluña,Gerona,Garrotxa,La comarca de Olot,Vall de Bas,Salto de Sallent desde el Pla d'en Xurri,"Lagos, ríos y cascadas;Rutas circulares",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"6,5 km",604,1.031,650m,2:45h,Área de picnic Pla d'en Xurri,Sant Privat d'en Bas,https://www.rutaspirineos.org/rutas/salt-de-sallent-desde-el-pla-den-xurri,True,11/11/2025
España,Cataluña,Gerona,Garrotxa,Alta Garrotxa,,GR 11 - Etapa 06: Albanyà - Sant Aniol d'Aguja,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"16,8 km",220,1.128,+975m / -769m,5:30h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-06-albanya-sant-aniol-aguja,True,11/11/2025
España,Cataluña,Gerona,Garrotxa,Alta Garrotxa,,GR 11 - Etapa 07: Sant Aniol d'Aguja - Beget,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,5 km",367,755,+850m / -762m,4:50h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-07-sant-aniol-aguja-beget,True,11/11/2025
España,Cataluña,Gerona,Gironés,Las Gavarres (Gironés),Madremanya,Al pie de las Gavarres desde Madremanya,Familias y niños;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","7,6 km",111,180,143m,2:00h,Entrada Madremanya,Madremanya,https://www.rutaspirineos.org/rutas/al-peu-de-les-gavarres-des-de-madremanya,True,11/11/2025
España,Cataluña,Gerona,Gironés,El valle del Ter,Girona,El castillo de Sant Miquel desde Gerona,Patrimonio histórico;Familias y niños;Ascensiones media montaña,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"9,6 km",64,385,330m,2:35h,Plaza de Sant Pere de Galligants,Gerona,https://www.rutaspirineos.org/rutas/castell-de-sant-miquel-des-de-girona,True,11/11/2025
España,Cataluña,Gerona,Gironés,El valle del Ter,Sant Julià de Ramis,El desfiladero del Ter y la montaña de los Sants Metges,Patrimonio histórico;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"9,2 km",47,195,150m,2:20h,Plaza de la Font Picant,Sant Julià de Ramis,https://www.rutaspirineos.org/rutas/congost-del-ter-i-muntanya-de-sants-metges-sant-julia-de-ramis,True,11/11/2025
España,Cataluña,Gerona,Gironés,El valle del Ter,Bescanó,El volcán de la Crosa de Sant Dalmai,Familias y niños;Rutas circulares;Paisajes pintorescos,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","2,9 km",150,190,60m,0:40h,Área de las Guilloteres,Bescanó,https://www.rutaspirineos.org/rutas/volca-de-la-crosa-de-sant-dalmai,True,11/11/2025
España,Cataluña,Gerona,Gironés,El valle del Ter,Canet de Adri,El volcán del Puig d'Adri,"Paisajes pintorescos;Lagos, ríos y cascadas;Familias y niños",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","6,5 km",223,355,185m,1:35h,Vecindario de Adri,Canet d'Adri,https://www.rutaspirineos.org/rutas/puig-adri-les-gorgues-de-canet-adri,True,11/11/2025
España,Cataluña,Gerona,Gironés,Ardenya-Cadiretes (Gironés),Llagostera,Puig de Cadiretes (519m) en la Ardenya,Patrimonio histórico;Ascensiones media montaña;Familias y niños,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,9 km",462,519,75m,0:55h,Carretera - punto km 9,Llagostera,https://www.rutaspirineos.org/rutas/puig-de-cadiretes-llagostera,True,11/11/2025
España,Cataluña,Gerona,La Selva,Depresión de la Selva,La Cellera de Ter,Ruta de las canteras de la Cellera de Ter,"Rutas circulares;Lagos, ríos y cascadas;Paisajes pintorescos",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"9,3 km",160,458,475m,2:40h,Zona verde - carretera vieja,La Cellera de Ter,https://www.rutaspirineos.org/rutas/ruta-de-les-pedreres-sl-c9-cellera-de-ter,True,11/11/2025
España,Cataluña,Gerona,La Selva,Sierra de Marina,Lloret de Mar,Ruta de las ermitas de Lloret de Mar,"Patrimonio histórico;Rutas circulares;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,19 km,4,156,270m,5:00h,Museo del Mar,Lloret de Mar,https://www.rutaspirineos.org/rutas/ruta-de-les-ermites-lloret-de-mar,True,11/11/2025
España,Cataluña,Gerona,La Selva,Depresión de la Selva,Vidreres,Ruta de los pantanos de Llobet en Vidreres,"Familias y niños;Lagos, ríos y cascadas;Rutas circulares",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"9,1 km",81,139,85m,2:15h,Pabellón deportivo de Vidreres,Vidreres,https://www.rutaspirineos.org/rutas/ruta-dels-pantans-den-llobet-vidreres,True,11/11/2025
España,Cataluña,Gerona,La Selva,Depresión de la Selva,Amer,Ruta Voramera y Vía Verde en Amer,"Familias y niños;Lagos, ríos y cascadas;Rutas circulares",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"9,1 km",160,220,120m,2:15h,Puente de Santa Brígida,Amer,https://www.rutaspirineos.org/rutas/ruta-de-voramea-via-verda-carrilet-amer,True,11/11/2025
España,Cataluña,Gerona,La Selva,Depresión de la Selva,Hostalric,Vuelta al castillo de Hostalric,Familias y niños;Patrimonio histórico;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","2,4 km",62,117,55m,0:40h,Plaza dels Bous,Hostalric,https://www.rutaspirineos.org/rutas/volta-al-castell-hostalric,True,11/11/2025
España,Cataluña,Gerona,La Selva,Depresión de la Selva,Vilobí d´Onyar,Vuelta por el Rec de Banyacans y las Fuentes de Salitja,"Familias y niños;Lagos, ríos y cascadas;Rutas circulares",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"9,8 km",118,204,85m,2:40h,Iglesia de Sant Esteve,Vilobí d'Onyar,https://www.rutaspirineos.org/rutas/volta-rec-banyacans-fonts-salitja-vilobi-onyar,True,11/11/2025
España,Cataluña,Barcelona,Maresme,"Sierras de Marina, Montnegre y Corredor",Argentona,El castillo de Burriac y el Camino de las Fuentes desde Argentona,Familias y niños;Rutas circulares;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"8,5 km",95 ,401 ,508 m,3:40 h,Parque de la Font Picant,Argentona,https://www.rutaspirineos.org/rutas/castillo-burriac-argentona,True,11/11/2025
España,Cataluña,Barcelona,Moianès,El valle de Marfà,Castellcir,Molino de Brotons y salto de la Tosca en el valle de Marfà,"Patrimonio histórico;Rutas circulares;Lagos, ríos y cascadas",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,10 km,535 ,655 ,+275 m / -275 m,3:40 h,Puente de la Fàbrega,Castellterçol,https://www.rutaspirineos.org/rutas/salt-moli-de-brotons-vall-marfa,True,11/11/2025
España,Cataluña,Barcelona,Osona,Collsacabra,L´Esquirol - Cantonigròs,Circular por los riscos y el llano de Aiats,Familias y niños;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"8,3 km",906 ,1.289 ,+460 m / -460 m,3:45 h,C-153 / Camino Ral Vic - Olot,Cantonigròs,https://www.rutaspirineos.org/rutas/pla-aiats-cantonigros,True,11/11/2025
España,Cataluña,Barcelona,Osona,Collsacabra,Rupit y Pruit,El salto de Sallent y los riscos de Casadevall desde Rupit,"Paisajes pintorescos;Lagos, ríos y cascadas;Rutas circulares",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"10,5 km",675,926,400m,3:45h,Rupit,Rupit,https://www.rutaspirineos.org/rutas/cingles-de-casadevall-des-de-rupit-collsacabra,True,11/11/2025
España,Cataluña,Barcelona,Osona,Collsacabra,Tavertet,La Rocallarga desde el Avenc,Rutas circulares;Ascensiones media montaña;Paisajes pintorescos,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"14,7 km",886,1.186,550m,5:30h,Apartotel l'Avenc de Tavertet,Tavertet.,https://www.rutaspirineos.org/rutas/volta-de-la-rocallarga-tavertet-collsacabra,True,11/11/2025
España,Cataluña,Lérida,Pallars Jussá,Montsec,Castell de Mur,Camino del Barranc del Bosc y Roca Regina,"Familias y niños;Rutas circulares;Lagos, ríos y cascadas",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,9 km,363,640,420m,3:15h,Cellers - Hotel Terradets,Cellers,https://www.rutaspirineos.org/rutas/camino-del-barranc-del-bosc-montsec,True,11/11/2025
España,Cataluña,Lérida,Pallars Jussá,Pobla de Segur y Conca de Dalt,La Pobla de Segur,Cap de Boumort (2.077m) desde Hortoneda,Ascensiones media montaña;Rutas circulares;Flora y fauna,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,24 km,1.003,2.077,1.250m,6:45h,Hortoneda,Hortoneda,https://www.rutaspirineos.org/rutas/cap-de-boumort-desde-hortoneda,True,11/11/2025
España,Cataluña,Lérida,Pallars Jussá,"Vall Fosca, Bellera y Manyanet",La Torre de Capdella,Carrilet del Estany Gento en la Vall Fosca,"Lagos, ríos y cascadas;Familias y niños;Patrimonio histórico",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"12,4 km",2.115,2.155,85m,3:00h,Teleférico Vall Fosca,La Torre de Capdella,https://www.rutaspirineos.org/rutas/carrilet-estany-gento-vall-fosca,True,11/11/2025
España,Cataluña,Lérida,Pallars Jussá,Conca Dellá,Figuerola de Orcau y Orcau,Castillo de Orcau,Familias y niños;Patrimonio histórico,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","1,3 km",774,887,113m,0:45h,Plaza de arriba de Orcau,Orcau,https://www.rutaspirineos.org/rutas/castillo-de-orcau,True,11/11/2025
España,Cataluña,Lérida,Pallars Jussá,Montsec,Llimiana,Castillo de Sant Gervàs,Familias y niños;Patrimonio histórico;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.",3 km,845,990,150m,1:15h,Iglésia Sant Miquel de la Vall,Sant Miquel de la Vall,https://www.rutaspirineos.org/rutas/castillo-de-sant-gervas,True,11/11/2025
España,Cataluña,Lérida,Pallars Jussá,Montsec,Sant Esteve de la Sarga,Desfiladero de Mont-rebei en la sierra del Montsec,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas;Flora y fauna",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"9,2 km",510,635,150m,3:10h,La Masieta,Sant Esteve de la Sarga,https://www.rutaspirineos.org/rutas/congost-de-mont-rebei,True,11/11/2025
España,Cataluña,Lérida,Pallars Jussá,Conca Dellá,Isona,El castillo de Llordá,Familias y niños;Patrimonio histórico,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,3 km",792,954,200m,1:15h,Llordá,Llordá,https://www.rutaspirineos.org/rutas/el-castillo-de-llorda,True,11/11/2025
España,Cataluña,Lérida,Pallars Jussá,"Vall Fosca, Bellera y Manyanet",Senterada,Estany de Montcortès desde Senterada,"Lagos, ríos y cascadas;Rutas circulares",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,5 km",729,1.100,650m,4:20h,Senterada - Casa Leonardo,Senterada,https://www.rutaspirineos.org/rutas/estany-de-montcortes-desde-senterada,True,11/11/2025
España,Cataluña,Lérida,Pallars Jussá,"Vall Fosca, Bellera y Manyanet",La Torre de Capdella,Estany Gento por el camino de la canal de Pigolo,"Lagos, ríos y cascadas;Familias y niños;Patrimonio histórico",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,1.773,2.155,395m,2:00h,Embalse de Sallente,La Torre de Capdella,https://www.rutaspirineos.org/rutas/canal-de-pigolo-carrilet-estany-gento-sallente-vall-fosca,True,11/11/2025
España,Cataluña,Lérida,Pallars Jussá,Conca Dellá,Isona,"La ermita de la Posa, el Parque Cretácico y las fortificaciones del Frente del Pallars desde Isona",Familias y niños;Patrimonio histórico;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","9,8 km",655 ,870 ,+260 m / -260 m,3:15 h,Isona - Cal Cuaresma,Isona,https://www.rutaspirineos.org/rutas/isona-ermita-posa-parc-cretaci-bunkers,True,11/11/2025
España,Cataluña,Lérida,Pallars Jussá,Conca Dellá,Figuerola de Orcau y Orcau,Los lagos de Basturs,"Familias y niños;Lagos, ríos y cascadas;Rutas circulares;Flora y fauna",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",1 km,646,654,10m,0:20h,Aparcamiento - lagos de Basturs,Basturs,https://www.rutaspirineos.org/rutas/estanys-de-basturs-conca-della-pallars,True,11/11/2025
España,Cataluña,Lérida,Pallars Jussá,Pobla de Segur y Conca de Dalt,La Pobla de Segur,Monasterio de Sant Pere de les Maleses,Familias y niños;Patrimonio histórico;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,9 km,530,710,400m,2:35h,Font de la Figuereta,La Pobla de Segur,https://www.rutaspirineos.org/rutas/monasterio-de-sant-pere-de-les-maleses-collegats,True,11/11/2025
España,Cataluña,Lérida,Pallars Jussá,Conca de Tremp y Terreta,Sapeira,Ruta circular por la Terreta desde Sapeira,Paisajes pintorescos;Patrimonio histórico;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,6 km",834,1.514,916m,6:10h,Iglesia de Sapeira,Sapeira,https://www.rutaspirineos.org/rutas/circular-terreta-roureda-aulas-sapeira-castellet,True,11/11/2025
España,Cataluña,Lérida,Pallars Jussá,Conca de Tremp y Terreta,La Torre de Tamúrcia,Sierra de Sant Gervàs: el Portús y la Avedoga d'Adons,Ascensiones media montaña;Paisajes pintorescos;Patrimonio histórico,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"13,5 km",950,1.839,1.000m,5:30h,Pista a Espluga de Serra,La Torre de Tamúrcia,https://www.rutaspirineos.org/rutas/lo-portus-avedoga-adons-desde-la-torre-de-tamurcia,True,11/11/2025
España,Cataluña,Lérida,Pallars Jussá,"Vall Fosca, Bellera y Manyanet",La Torre de Capdella,Valle de Riqüerna y camino de Rus desde Capdella,"Familias y niños;Lagos, ríos y cascadas",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"7,8 km",1.410,1.855,450m,2:30h,Capdella,Capdella,https://www.rutaspirineos.org/rutas/valle-de-riquerna-desde-capdella-vall-fosca,True,11/11/2025
España,Cataluña,Lérida,Pallars Jussá,Pobla de Segur y Conca de Dalt,La Pobla de Segur,Vuelta al Roc de Pessonada,Paisajes pintorescos;Patrimonio histórico;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"5,7 km",863,1.223,375m,2:30h,Pessonada,Pessonada,https://www.rutaspirineos.org/rutas/volta-al-roc-de-pessonada,True,11/11/2025
