route_id,pais,region,provincia,comarca,zona,pueblo,nombre_ruta,categoria,dificultad,descripcion_dificultad,distancia_total,altitud_minima,altitud_maxima,desnivel_acumulado,Tiempo_total,Punto_salida_llegada,poblacion_cercana,link_archivo,pdf_path,fecha,distancia_total_km,altitud_minima_m,altitud_maxima_m,desnivel_acumulado_pos,desnivel_acumulado_neg,tiempo_total_min,dificultad_org,pais_org,region_org,provincia_org,comarca_org,zona_org,pueblo_org,nombre_ruta_org,Punto_salida_llegada_org,poblacion_cercana_org,categoria_org
10,espana,cataluna,lerida,alta ribagorza,valle de boi,boi,besiberri norte 3014m desde cavallers por rio malo,ascensiones alta montana;cimas de 3000m,alta,Rutas de alta montaña con trepadas (nociones de escalada) generalmente con generosos agarres. La cuerda puede ser necesaria.,13 km,1.73,3.014,+800m | +514m / -1.314m,2:40h | 6:10h,embalse de cavallers,caldes de boi,https://www.rutaspirineos.org/rutas/besiberri-nord-desde-cavallers-por-riu-malo,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-besiberri-nord-desde-cavallers-por-riu-malo_es.pdf,11/11/2025,13.0,1.73,3014.0,800.0,-1314.0,160.0,Alta (PD+),España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Besiberri Norte (3.014m) desde Cavallers por río Malo,Embalse de Cavallers,Caldes de Boí,ascensiones alta montana;cimas de 3000m
11,espana,cataluna,lerida,alta ribagorza,valle de boi,boi,besiberri sur 3024m y comaloforno 3029m por los lagos de gemena,ascensiones alta montana;crestas y corredores;cimas de 3000m,alta,"Rutas de alta montaña con trepadas fáciles y con buenos agarres, por lo que es necesario usar las manos para progresar.",15 km,1.497,3.029,1.600m,10:10h,aparcamiento de toirigo,boi,https://www.rutaspirineos.org/rutas/besiberri-sud-y-comaloforno-por-los-estanys-de-gemena,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-besiberri-sud-y-comaloforno-por-los-estanys-de-gemena_es.pdf,11/11/2025,15.0,1497.0,3029.0,1600.0,,610.0,Alta (F+),España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Besiberri Sur (3.024m) y Comaloforno (3.029m) por los lagos de Gémena,Aparcamiento de Toirigo,Boí,ascensiones alta montana;crestas y corredores;cimas de 3000m
12,andorra,parroquia de andorra la vella,andorra la vella,,,,bony de la pica 2402m desde la margineda,rutas circulares;ascensiones media montana;paisajes pintorescos;patrimonio historico,alta,"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","24,6 km",947.0,2.402,1.625m,9:00h,calle mayor de santa coloma,santa coloma,https://www.rutaspirineos.org/rutas/bony-de-la-pica-margineda-sispony-andorra,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-bony-de-la-pica-margineda-sispony-andorra_es.pdf,11/11/2025,24.6,947.0,2402.0,1625.0,,540.0,Alta (F),Andorra,Parroquia de Andorra la Vella,Andorra la Vella,,,,Bony de la Pica (2.402m) desde la Margineda,Calle Mayor de Santa Coloma,Santa Coloma,rutas circulares;ascensiones media montana;paisajes pintorescos;patrimonio historico
13,espana,aragon,huesca,la jacetania,valles de anso y hecho,anso,bosque de gamueta desde el refugio de linza,familias y ninos;rutas circulares;flora y fauna,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"7,5 km",1.286,1.497,415m,2:25h,refugio de linza,anso,https://www.rutaspirineos.org/rutas/bosque-de-gamueta-desde-el-refugio-de-linza,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-bosque-de-gamueta-desde-el-refugio-de-linza_es.pdf,11/11/2025,7.5,1286.0,1497.0,415.0,,145.0,Media,España,Aragón,Huesca,La Jacetania,Valles de Ansó y Hecho,Ansó,Bosque de Gamueta desde el refugio de Linza,Refugio de Linza,Ansó,familias y ninos;rutas circulares;flora y fauna
14,espana,cataluna,barcelona,bergueda,alto llobregat,baga,el bullidor de la llet,familias y ninos;lagos;rios y cascadas,baja,"Paseos cortos, con poco desnivel y sin dificultades.","2,4 km",910.0,1.032,130m,0:40h,cal cerdanyola,baga,https://www.rutaspirineos.org/rutas/bullidor-de-la-llet-baga-bergueda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-bullidor-de-la-llet-baga-bergueda_es.pdf,11/11/2025,2.4,910.0,1032.0,130.0,,40.0,Baja,España,Cataluña,Barcelona,Berguedá,Alto Llobregat,Bagá,El Bullidor de la Llet,Cal Cerdanyola,Bagá,familias y ninos;lagos;rios y cascadas
15,espana,cataluna,gerona,alto ampurdan,cabo de creus,cadaques,camino antiguo de cadaques al cabo de creus,paisajes pintorescos;lagos;rios y cascadas,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"14,8 km",1.0,80.0,760m,4:00h,paseo de cadaques,cadaques,https://www.rutaspirineos.org/rutas/cami-antic-cadaques-far-cap-de-creus,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,11/11/2025,14.8,1.0,80.0,760.0,,240.0,Notable,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,Cadaqués,Camino Antiguo de Cadaqués al Cabo de Creus,Paseo de Cadaqués,Cadaqués,paisajes pintorescos;lagos;rios y cascadas
16,andorra,parroquia de canillo,canillo,,,,camino circular de la parroquia de canillo,paisajes pintorescos;patrimonio historico;lagos;rios y cascadas;rutas circulares,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"29,4 km",1.44,2.04,1.920m,9:00h,iglesia de santa creu  canillo,canillo,https://www.rutaspirineos.org/rutas/cami-circular-de-la-parroquia-de-canillo,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cami-circular-de-la-parroquia-de-canillo_es.pdf,11/11/2025,29.4,1.44,2.04,1920.0,,540.0,Notable,Andorra,Parroquia de Canillo,Canillo,,,,Camino circular de la parroquia de Canillo,Iglesia de Santa Creu - Canillo,Canillo,paisajes pintorescos;patrimonio historico;lagos;rios y cascadas;rutas circulares
17,andorra,parroquia de la massana,arinsal,,,,camino de percanela  les fonts  pla del estany,rutas circulares;patrimonio historico,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"9,1 km",1.475,2.06,600m,4:10h,arinsal,arinsal,https://www.rutaspirineos.org/rutas/cami-de-percanela-les-fonts-pla-de-estany,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cami-de-percanela-les-fonts-pla-de-estany_es.pdf,11/11/2025,9.1,1475.0,2.06,600.0,,250.0,Notable,Andorra,Parroquia de la Massana,Arinsal,,,,Camino de Percanela - Les Fonts - Pla del Estany,Arinsal,Arinsal,rutas circulares;patrimonio historico
18,andorra,parroquia de andorra la vella,andorra la vella,,,,camino de prat primer y bosque de la caulla,rutas circulares;flora y fauna,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"8,7 km",1.34,2.235,950m,3:50h,merendero de la comella,andorra la vella,https://www.rutaspirineos.org/rutas/cami-de-prat-primer-i-bosc-de-la-caulla-comella,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cami-de-prat-primer-i-bosc-de-la-caulla-comella_es.pdf,11/11/2025,8.7,1.34,2235.0,950.0,,230.0,Notable,Andorra,Parroquia de Andorra la Vella,Andorra la Vella,,,,Camino de Prat Primer y bosque de la Caülla,Merendero de la Comella,Andorra la Vella,rutas circulares;flora y fauna
19,espana,cataluna,gerona,el ripolles,valle de ribes y nuria,queralbs,camino viejo de queralbs a nuria,patrimonio historico;lagos;rios y cascadas;paisajes pintorescos,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"7,2 km",1.18,1.987,+932m / -152m,3:45h,estacion de tren de queralbs,queralbs,https://www.rutaspirineos.org/rutas/cami-vell-de-queralbs-a-nuria,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cami-vell-de-queralbs-a-nuria_es.pdf,11/11/2025,7.2,1.18,1987.0,932.0,-152.0,225.0,Media,España,Cataluña,Gerona,El Ripollés,Valle de Ribes y Nuria,Queralbs,Camino Viejo de Queralbs a Núria,Estación de tren de Queralbs,Queralbs,patrimonio historico;lagos;rios y cascadas;paisajes pintorescos
20,espana,cataluna,lerida,solsones,vall de lord y sierra de busa,sant llorenc de morunys,camino verde del valle de lord  fuentes del cardener,familias y ninos;lagos;rios y cascadas,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"14,6 km",868.0,1.041,380m,4:00h,oficina de turismo,sant llorenc de morunys,https://www.rutaspirineos.org/rutas/cami-verd-vall-de-lord-fonts-del-cardener,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cami-verd-vall-de-lord-fonts-del-cardener_es.pdf,11/11/2025,14.6,868.0,1041.0,380.0,,240.0,Media,España,Cataluña,Lérida,Solsonés,Vall de Lord y sierra de Busa,Sant Llorenç de Morunys,Camino Verde del Valle de Lord - Fuentes del Cardener,Oficina de turismo,Sant Llorenç de Morunys,familias y ninos;lagos;rios y cascadas
21,espana,navarra,navarra montana,valles pirenaicos navarra,valle de roncal y belagua,isaba,camino de zemeto en el valle de roncalbelagua,familias y ninos;rutas circulares,baja,"Paseos cortos, con poco desnivel y sin dificultades.","4,2 km",1.305,1.426,175m,1:10h,refugio de belagua,isaba,https://www.rutaspirineos.org/rutas/camino-de-zemeto-belagua,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-camino-de-zemeto-belagua_es.pdf,11/11/2025,4.2,1305.0,1426.0,175.0,,70.0,Baja,España,Navarra,Navarra Montaña,Valles Pirenaicos (Navarra),Valle de Roncal y Belagua,Isaba,Camino de Zemeto en el valle de Roncal-Belagua,Refugio de Belagua,Isaba,familias y ninos;rutas circulares
22,espana,cataluna,lerida,alta ribagorza,pont de suert y valle de viu,pont de suert,camino del agua en la alta ribagorza,patrimonio historico;lagos;rios y cascadas,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"27,5 km",820.0,1.446,1.250m,8:50h,area de la fuente de mena,el pont de suert,https://www.rutaspirineos.org/rutas/camino-del-agua-pont-de-suert-caldes-de-boi,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-camino-del-agua-pont-de-suert-caldes-de-boi_es.pdf,11/11/2025,27.5,820.0,1446.0,1250.0,,530.0,Notable,España,Cataluña,Lérida,Alta Ribagorza,Pont de Suert y valle de Viu,Pont de Suert,Camino del Agua en la Alta Ribagorza,Área de la fuente de Mena,El Pont de Suert,patrimonio historico;lagos;rios y cascadas
23,espana,cataluna,lerida,pallars jussa,montsec,castell de mur,camino del barranc del bosc y roca regina,familias y ninos;rutas circulares;lagos;rios y cascadas,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,9 km,363.0,640.0,420m,3:15h,cellers  hotel terradets,cellers,https://www.rutaspirineos.org/rutas/camino-del-barranc-del-bosc-montsec,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-camino-del-barranc-del-bosc-montsec_es.pdf,11/11/2025,9.0,363.0,640.0,420.0,,195.0,Media,España,Cataluña,Lérida,Pallars Jussá,Montsec,Castell de Mur,Camino del Barranc del Bosc y Roca Regina,Cellers - Hotel Terradets,Cellers,familias y ninos;rutas circulares;lagos;rios y cascadas
24,espana,cataluna,lerida,alta ribagorza,pont de suert y valle de viu,adons,camino del portus desde adons,paisajes pintorescos;familias y ninos,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"5,5 km",1.319,1.69,430m,2:10h,adons,adons,https://www.rutaspirineos.org/rutas/camino-del-portus-desde-adons,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-camino-del-portus-desde-adons_es.pdf,11/11/2025,5.5,1319.0,1.69,430.0,,130.0,Media,España,Cataluña,Lérida,Alta Ribagorza,Pont de Suert y valle de Viu,Adons,Camino del Portús desde Adons,Adons,Adons,paisajes pintorescos;familias y ninos
25,espana,cataluna,lerida,pallars jussa,vall fosca bellera y manyanet,la torre de capdella,estany gento por el camino de la canal de pigolo,lagos;rios y cascadas;familias y ninos;patrimonio historico,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,1.773,2.155,395m,2:00h,embalse de sallente,la torre de capdella,https://www.rutaspirineos.org/rutas/canal-de-pigolo-carrilet-estany-gento-sallente-vall-fosca,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-canal-de-pigolo-carrilet-estany-gento-sallente-vall-fosca_es.pdf,11/11/2025,7.0,1773.0,2155.0,395.0,,120.0,Media,España,Cataluña,Lérida,Pallars Jussá,"Vall Fosca, Bellera y Manyanet",La Torre de Capdella,Estany Gento por el camino de la canal de Pigolo,Embalse de Sallente,La Torre de Capdella,lagos;rios y cascadas;familias y ninos;patrimonio historico
26,espana,cataluna,lerida,pallars jussa,pobla de segur y conca de dalt,la pobla de segur,cap de boumort 2077m desde hortoneda,ascensiones media montana;rutas circulares;flora y fauna,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,24 km,1.003,2.077,1.250m,6:45h,hortoneda,hortoneda,https://www.rutaspirineos.org/rutas/cap-de-boumort-desde-hortoneda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cap-de-boumort-desde-hortoneda_es.pdf,11/11/2025,24.0,1003.0,2077.0,1250.0,,405.0,Notable,España,Cataluña,Lérida,Pallars Jussá,Pobla de Segur y Conca de Dalt,La Pobla de Segur,Cap de Boumort (2.077m) desde Hortoneda,Hortoneda,Hortoneda,ascensiones media montana;rutas circulares;flora y fauna
27,espana,cataluna,gerona,alto ampurdan,cabo de creus,rosas,ruta circular por el cap de norfeu,paisajes pintorescos;familias y ninos;patrimonio historico;rutas circulares,baja,"Paseos cortos, con poco desnivel y sin dificultades.","4,7 km",59.0,171.0,275m,1:40h,collado del canadell,rosas,https://www.rutaspirineos.org/rutas/cap-de-norfeu-montjoi-joncols-roses,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cap-de-norfeu-montjoi-joncols-roses_es.pdf,11/11/2025,4.7,59.0,171.0,275.0,,100.0,Baja,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,Rosas,Ruta circular por el Cap de Norfeu,Collado del Canadell,Rosas,paisajes pintorescos;familias y ninos;patrimonio historico;rutas circulares
28,espana,cataluna,gerona,alto ampurdan,cabo de creus,llanca,carrerada de sant pere de rodes,paisajes pintorescos;lagos;rios y cascadas;patrimonio historico;rutas circulares,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"12,4 km",0.0,357.0,520m,4:15h,oficina de turismo de llanca,llanca,https://www.rutaspirineos.org/rutas/carrerada-de-sant-pere-de-rodes-llanca,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-carrerada-de-sant-pere-de-rodes-llanca_es.pdf,11/11/2025,12.4,0.0,357.0,520.0,,255.0,Media,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,Llançà,Carrerada de Sant Pere de Rodes,Oficina de Turismo de Llançà,Llançà,paisajes pintorescos;lagos;rios y cascadas;patrimonio historico;rutas circulares
29,espana,cataluna,lerida,pallars jussa,vall fosca bellera y manyanet,la torre de capdella,carrilet del estany gento en la vall fosca,lagos;rios y cascadas;familias y ninos;patrimonio historico,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"12,4 km",2.115,2.155,85m,3:00h,teleferico vall fosca,la torre de capdella,https://www.rutaspirineos.org/rutas/carrilet-estany-gento-vall-fosca,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-carrilet-estany-gento-vall-fosca_es.pdf,11/11/2025,12.4,2115.0,2155.0,85.0,,180.0,Media,España,Cataluña,Lérida,Pallars Jussá,"Vall Fosca, Bellera y Manyanet",La Torre de Capdella,Carrilet del Estany Gento en la Vall Fosca,Teleférico Vall Fosca,La Torre de Capdella,lagos;rios y cascadas;familias y ninos;patrimonio historico
30,espana,cataluna,lerida,cerdana lerida,valle de la cerdana lerida,lles de cerdana,cascada del moli del salt desde viliella,familias y ninos;lagos;rios y cascadas,baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,6 km",1.49,1.572,82m,1:10h,iglesia de viliella,viliella,https://www.rutaspirineos.org/rutas/cascada-del-moli-del-salt-desde-viliella,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cascada-del-moli-del-salt-desde-viliella_es.pdf,11/11/2025,3.6,1.49,1572.0,82.0,,70.0,Baja,España,Cataluña,Lérida,Cerdaña (Lérida),Valle de la Cerdaña (Lérida),Lles de Cerdaña,Cascada del Molí del Salt desde Viliella,Iglesia de Viliella,Viliella,familias y ninos;lagos;rios y cascadas
