route_id,pdf_path,table_idx,punto_de_paso,tiempo,altura,latitud,longitud
10,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-nord-desde-cavallers-por-riu-malo_es.pdf,3,Presa de Cavallers,0:05h,N 42.5843508º,E 0.8564460º,1.785m,
10,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-nord-desde-cavallers-por-riu-malo_es.pdf,3,3,,,,,
10,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-nord-desde-cavallers-por-riu-malo_es.pdf,3,Planell de Riumalo,0:50h,N 42.5995055º,E 0.8581109º,1.850m,
10,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-nord-desde-cavallers-por-riu-malo_es.pdf,3,4,,,,,
10,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-nord-desde-cavallers-por-riu-malo_es.pdf,3,Lago de Malavesina,2:40h,N 42.6037085º,E 0.8383219º,2.494m,
10,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-nord-desde-cavallers-por-riu-malo_es.pdf,3,2o día,,,,,
10,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-nord-desde-cavallers-por-riu-malo_es.pdf,3,Lago de Malavesina,0:00h,N 42.6037085º,E 0.8383219º,2.494m,
10,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-nord-desde-cavallers-por-riu-malo_es.pdf,3,Besiberri Norte,1:50h,N 42.6052700º,E 0.8262811º,3.014m,
10,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-nord-desde-cavallers-por-riu-malo_es.pdf,3,Aparcamiento embalse de Cavallers,6:10h,N 42.5839167º,E 0.8541529º,1.700m,
11,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-sud-y-comaloforno-por-los-estanys-de-gemena_es.pdf,2,Aparcamiento de Toirigo,0:00h,1.497m,42.566708º,0.844774º,
11,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-sud-y-comaloforno-por-los-estanys-de-gemena_es.pdf,2,Llano de la Cabana,1:50h,1.992m,42.566349º,0.824682º,
11,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-sud-y-comaloforno-por-los-estanys-de-gemena_es.pdf,2,Lago de Gémena de Baix,2:45h,2.235m,42.574324º,0.820601º,
11,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-sud-y-comaloforno-por-los-estanys-de-gemena_es.pdf,2,Collada de Abellers,5:10h,2.886m,42.594312º,0.823296º,
11,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-sud-y-comaloforno-por-los-estanys-de-gemena_es.pdf,2,Besiberri Sur,5:30h,3.024m,42.593790º,0.825943º,
11,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-sud-y-comaloforno-por-los-estanys-de-gemena_es.pdf,2,Comaloforno,6:25h,3.029m,42.591387º,0.827842º,
11,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-besiberri-sud-y-comaloforno-por-los-estanys-de-gemena_es.pdf,2,Aparcamiento de Toirigo,10:10h,1.497m,42.566708º,0.844774º,
12,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bony-de-la-pica-margineda-sispony-andorra_es.pdf,2,Calle Mayor de Santa Coloma,0:00h,960m,42.4939410º,1.4976709º,
12,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bony-de-la-pica-margineda-sispony-andorra_es.pdf,2,Camino de Aixàs,0:20h,1.018m,42.4896049º,1.4903100º,
12,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bony-de-la-pica-margineda-sispony-andorra_es.pdf,2,Colladito del pluviómetro,1:35h,1.552m,42.4837390º,1.4771769º,
12,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bony-de-la-pica-margineda-sispony-andorra_es.pdf,2,Ermita de Sant Joan Evangelista de Aixàs,2:00h,1.534m,42.4855220º,1.4670899º,
12,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bony-de-la-pica-margineda-sispony-andorra_es.pdf,2,Canal de los lirios,3:00h,1.957m,42.4959690º,1.4680119º,
12,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bony-de-la-pica-margineda-sispony-andorra_es.pdf,2,Bony de la Pica,4:25h,2.402m,42.5048199º,1.4603929º,
12,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bony-de-la-pica-margineda-sispony-andorra_es.pdf,2,Pico de Enclar,4:40h,2.388m,42.5099900º,1.46835590º,
12,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bony-de-la-pica-margineda-sispony-andorra_es.pdf,2,Collado de Montaner,5:05h,2.078m,42.5162899º,1.4643769º,
12,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bony-de-la-pica-margineda-sispony-andorra_es.pdf,2,Cortals de Sispony,5:50h,1.673m,42.5263589º,1.4836840º,
12,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bony-de-la-pica-margineda-sispony-andorra_es.pdf,2,1     Museo - Casa Rull de Sispony,6:55h,1.335m,42.5322630º,1.51431603º,
12,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bony-de-la-pica-margineda-sispony-andorra_es.pdf,2,Ermita de Sant Antoni de la Grella,7:30h,1.146m,42.5275409º,1.5208110º,
12,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bony-de-la-pica-margineda-sispony-andorra_es.pdf,2,Rec del Solà,8:00h,1.100m,42.5133619º,1.5297050º,
12,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bony-de-la-pica-margineda-sispony-andorra_es.pdf,2,Camino del Solà,8:30h,1.101m,42.5042070º,1.5091640º,
12,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bony-de-la-pica-margineda-sispony-andorra_es.pdf,2,Calle Mayor de Santa Coloma,9:00h,960m,42.4939410º,1.4976709º,
13,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bosque-de-gamueta-desde-el-refugio-de-linza_es.pdf,4,Refugio de Linza,0:00h,1.340m,42.8978740º,-0.7991999º,
13,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bosque-de-gamueta-desde-el-refugio-de-linza_es.pdf,4,Señalización Bosque de Gamueta,0:02h,1.334m,42.8971863º,-0.7978916º,
13,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bosque-de-gamueta-desde-el-refugio-de-linza_es.pdf,4,Cruzamos pista - panel informativo,0:05h,1.349m,42.8963790º,-0.7981099º,
13,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bosque-de-gamueta-desde-el-refugio-de-linza_es.pdf,4,Tomamos pequeño sendero en subida,0:06h,1.356m,42.8962309º,-0.7979349º,
13,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bosque-de-gamueta-desde-el-refugio-de-linza_es.pdf,4,Paso del Salto del Caballo,0:15h,1.424m,42.8947840º,-0.7979339º,
13,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bosque-de-gamueta-desde-el-refugio-de-linza_es.pdf,4,Desvío Bosque de Gamueta,0:17h,1.413m,42.8941680º,-0.7978219º,
13,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bosque-de-gamueta-desde-el-refugio-de-linza_es.pdf,4,Dejamos atajos a la derecha,0:30h,1.377m,42.8866499º,-0.7954209º,
13,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bosque-de-gamueta-desde-el-refugio-de-linza_es.pdf,4,Cruzamos barranco,1:00h,1.464m,42.8873569º,-0.7814399º,
13,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bosque-de-gamueta-desde-el-refugio-de-linza_es.pdf,4,Desvío a la derecha Bosque de Gamueta,1:10h,1.497m,42.8846590º,-0.7815790º,
13,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bosque-de-gamueta-desde-el-refugio-de-linza_es.pdf,4,Puente barranco de Gamueta - inicio pista,1:25h,1.394m,42.8854029º,-0.7862630º,
13,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bosque-de-gamueta-desde-el-refugio-de-linza_es.pdf,4,Carretera de Zuriza a Linza,1:55h,1.286m,42.8853709º,-0.8059570º,
13,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bosque-de-gamueta-desde-el-refugio-de-linza_es.pdf,4,Refugio de Linza,2:25h,1.340m,42.8978740º,-0.7991999º,
14,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bullidor-de-la-llet-baga-bergueda_es.pdf,2,Cal Cerdanyola,0:00h,910m,42.2682510º,1.8148700º,
14,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bullidor-de-la-llet-baga-bergueda_es.pdf,2,Desvío Bullidor de la Llet,0:15h,1.002m,42.2751610º,1.8180320º,
14,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bullidor-de-la-llet-baga-bergueda_es.pdf,2,Bullidor de la Llet,0:20h,1.032m,42.2758700º,1.8166920º,
14,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-bullidor-de-la-llet-baga-bergueda_es.pdf,2,Cal Cerdanyola,0:40h,910m,42.2682510º,1.8148700º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Paseo de Cadaqués,0:00h,2m,42.2889720º,3.2782810º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Calle de la Miranda,0:05h,2m,42.2887860º,3.2810630º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Iglesia de Sant Baldiri,0:15h,41m,42.2919430º,3.2838410º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Casa Museo Salvador Dalí,0:20h,5m,42.2933710º,3.2860510º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Camino lado casa,0:30h,25m,42.2989850º,3.2851740º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Camino paralelo carretera,0:35h,45m,42.3021420º,3.2851170º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Camino de tierra,0:45h,39m,42.3074680º,3.2864020º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Desvío camino playas,0:47h,38m,42.3076310º,3.2877580º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Playa de Sant Lluís,0:50h,15m,42.3076250º,3.2889690º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Playa de Guillola,0:57h,1m,42.3071580º,3.2946730º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Pista de tierra,1:00h,26m,42.3073690º,3.2964060º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,12,,,,,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Desvío Camí Antic,1:05h,65m,42.3102170º,3.2943740º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Puente del Mal Pas,1:25h,32m,42.3146360º,3.3046770º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Cala Jugadora,1:35h,30m,42.3170400º,3.3100640º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,GR-11,1:37h,17m,42.3178950º,3.3108610º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Camino atajo,1:45h,49m,42.3185510º,3.3139330º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Faro del Cabo de Creus,1:50h,80m,42.3189490º,3.3160040º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Punta del Cabo de Creus,2:00h,21m,42.3193110º,3.3218170º,
15,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,4,Paseo de Cadaqués,4:00h,2m,42.2889720º,3.2782810º,
16,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-circular-de-la-parroquia-de-canillo_es.pdf,3,Ermita de Santa Creu,0:00h,1.525m,42.565917º,1.599745º,
16,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-cami-circular-de-la-parroquia-de-canillo_es.pdf,3,Iglesia de Sant Miquel de Prats,0:10h,1.547m,42.560209º,1.593835º,
