route_id,pais,region,provincia,comarca,zona,pueblo,nombre_ruta,categoria,dificultad,descripcion_dificultad,distancia_total,altitud_minima,altitud_maxima,desnivel_acumulado,Tiempo_total,Punto_salida_llegada,poblacion_cercana,link_archivo,pdf_path,fecha
10,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Besiberri Norte (3.014m) desde Cavallers por río Malo,Ascensiones alta montaña;Cimas de 3.000m,Alta (PD+),Rutas de alta montaña con trepadas (nociones de escalada) generalmente con generosos agarres. La cuerda puede ser necesaria.,13 km,1.73,3.014,+800m | +514m / -1.314m,2:40h | 6:10h,Embalse de Cavallers,Caldes de Boí,https://www.rutaspirineos.org/rutas/besiberri-nord-desde-cavallers-por-riu-malo,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-besiberri-nord-desde-cavallers-por-riu-malo_es.pdf,11/11/2025
11,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Besiberri Sur (3.024m) y Comaloforno (3.029m) por los lagos de Gémena,Ascensiones alta montaña;Crestas y corredores;Cimas de 3.000m,Alta (F+),"Rutas de alta montaña con trepadas fáciles y con buenos agarres, por lo que es necesario usar las manos para progresar.",15 km,1.497,3.029,1.600m,10:10h,Aparcamiento de Toirigo,Boí,https://www.rutaspirineos.org/rutas/besiberri-sud-y-comaloforno-por-los-estanys-de-gemena,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-besiberri-sud-y-comaloforno-por-los-estanys-de-gemena_es.pdf,11/11/2025
12,Andorra,Parroquia de Andorra la Vella,Andorra la Vella,,,,Bony de la Pica (2.402m) desde la Margineda,Rutas circulares;Ascensiones media montaña;Paisajes pintorescos;Patrimonio histórico,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","24,6 km",947.0,2.402,1.625m,9:00h,Calle Mayor de Santa Coloma,Santa Coloma,https://www.rutaspirineos.org/rutas/bony-de-la-pica-margineda-sispony-andorra,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-bony-de-la-pica-margineda-sispony-andorra_es.pdf,11/11/2025
13,España,Aragón,Huesca,La Jacetania,Valles de Ansó y Hecho,Ansó,Bosque de Gamueta desde el refugio de Linza,Familias y niños;Rutas circulares;Flora y fauna,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"7,5 km",1.286,1.497,415m,2:25h,Refugio de Linza,Ansó,https://www.rutaspirineos.org/rutas/bosque-de-gamueta-desde-el-refugio-de-linza,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-bosque-de-gamueta-desde-el-refugio-de-linza_es.pdf,11/11/2025
14,España,Cataluña,Barcelona,Berguedá,Alto Llobregat,Bagá,El Bullidor de la Llet,"Familias y niños;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","2,4 km",910.0,1.032,130m,0:40h,Cal Cerdanyola,Bagá,https://www.rutaspirineos.org/rutas/bullidor-de-la-llet-baga-bergueda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-bullidor-de-la-llet-baga-bergueda_es.pdf,11/11/2025
15,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,Cadaqués,Camino Antiguo de Cadaqués al Cabo de Creus,"Paisajes pintorescos;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"14,8 km",1.0,80.0,760m,4:00h,Paseo de Cadaqués,Cadaqués,https://www.rutaspirineos.org/rutas/cami-antic-cadaques-far-cap-de-creus,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cami-antic-cadaques-far-cap-de-creus_es.pdf,11/11/2025
16,Andorra,Parroquia de Canillo,Canillo,,,,Camino circular de la parroquia de Canillo,"Paisajes pintorescos;Patrimonio histórico;Lagos, ríos y cascadas;Rutas circulares",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"29,4 km",1.44,2.04,1.920m,9:00h,Iglesia de Santa Creu - Canillo,Canillo,https://www.rutaspirineos.org/rutas/cami-circular-de-la-parroquia-de-canillo,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cami-circular-de-la-parroquia-de-canillo_es.pdf,11/11/2025
17,Andorra,Parroquia de la Massana,Arinsal,,,,Camino de Percanela - Les Fonts - Pla del Estany,Rutas circulares;Patrimonio histórico,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"9,1 km",1.475,2.06,600m,4:10h,Arinsal,Arinsal,https://www.rutaspirineos.org/rutas/cami-de-percanela-les-fonts-pla-de-estany,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cami-de-percanela-les-fonts-pla-de-estany_es.pdf,11/11/2025
18,Andorra,Parroquia de Andorra la Vella,Andorra la Vella,,,,Camino de Prat Primer y bosque de la Caülla,Rutas circulares;Flora y fauna,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"8,7 km",1.34,2.235,950m,3:50h,Merendero de la Comella,Andorra la Vella,https://www.rutaspirineos.org/rutas/cami-de-prat-primer-i-bosc-de-la-caulla-comella,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cami-de-prat-primer-i-bosc-de-la-caulla-comella_es.pdf,11/11/2025
19,España,Cataluña,Gerona,El Ripollés,Valle de Ribes y Nuria,Queralbs,Camino Viejo de Queralbs a Núria,"Patrimonio histórico;Lagos, ríos y cascadas;Paisajes pintorescos",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"7,2 km",1.18,1.987,+932m / -152m,3:45h,Estación de tren de Queralbs,Queralbs,https://www.rutaspirineos.org/rutas/cami-vell-de-queralbs-a-nuria,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cami-vell-de-queralbs-a-nuria_es.pdf,11/11/2025
20,España,Cataluña,Lérida,Solsonés,Vall de Lord y sierra de Busa,Sant Llorenç de Morunys,Camino Verde del Valle de Lord - Fuentes del Cardener,"Familias y niños;Lagos, ríos y cascadas",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"14,6 km",868.0,1.041,380m,4:00h,Oficina de turismo,Sant Llorenç de Morunys,https://www.rutaspirineos.org/rutas/cami-verd-vall-de-lord-fonts-del-cardener,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cami-verd-vall-de-lord-fonts-del-cardener_es.pdf,11/11/2025
21,España,Navarra,Navarra Montaña,Valles Pirenaicos (Navarra),Valle de Roncal y Belagua,Isaba,Camino de Zemeto en el valle de Roncal-Belagua,Familias y niños;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","4,2 km",1.305,1.426,175m,1:10h,Refugio de Belagua,Isaba,https://www.rutaspirineos.org/rutas/camino-de-zemeto-belagua,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-camino-de-zemeto-belagua_es.pdf,11/11/2025
22,España,Cataluña,Lérida,Alta Ribagorza,Pont de Suert y valle de Viu,Pont de Suert,Camino del Agua en la Alta Ribagorza,"Patrimonio histórico;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"27,5 km",820.0,1.446,1.250m,8:50h,Área de la fuente de Mena,El Pont de Suert,https://www.rutaspirineos.org/rutas/camino-del-agua-pont-de-suert-caldes-de-boi,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-camino-del-agua-pont-de-suert-caldes-de-boi_es.pdf,11/11/2025
23,España,Cataluña,Lérida,Pallars Jussá,Montsec,Castell de Mur,Camino del Barranc del Bosc y Roca Regina,"Familias y niños;Rutas circulares;Lagos, ríos y cascadas",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,9 km,363.0,640.0,420m,3:15h,Cellers - Hotel Terradets,Cellers,https://www.rutaspirineos.org/rutas/camino-del-barranc-del-bosc-montsec,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-camino-del-barranc-del-bosc-montsec_es.pdf,11/11/2025
24,España,Cataluña,Lérida,Alta Ribagorza,Pont de Suert y valle de Viu,Adons,Camino del Portús desde Adons,Paisajes pintorescos;Familias y niños,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"5,5 km",1.319,1.69,430m,2:10h,Adons,Adons,https://www.rutaspirineos.org/rutas/camino-del-portus-desde-adons,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-camino-del-portus-desde-adons_es.pdf,11/11/2025
25,España,Cataluña,Lérida,Pallars Jussá,"Vall Fosca, Bellera y Manyanet",La Torre de Capdella,Estany Gento por el camino de la canal de Pigolo,"Lagos, ríos y cascadas;Familias y niños;Patrimonio histórico",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,1.773,2.155,395m,2:00h,Embalse de Sallente,La Torre de Capdella,https://www.rutaspirineos.org/rutas/canal-de-pigolo-carrilet-estany-gento-sallente-vall-fosca,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-canal-de-pigolo-carrilet-estany-gento-sallente-vall-fosca_es.pdf,11/11/2025
26,España,Cataluña,Lérida,Pallars Jussá,Pobla de Segur y Conca de Dalt,La Pobla de Segur,Cap de Boumort (2.077m) desde Hortoneda,Ascensiones media montaña;Rutas circulares;Flora y fauna,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,24 km,1.003,2.077,1.250m,6:45h,Hortoneda,Hortoneda,https://www.rutaspirineos.org/rutas/cap-de-boumort-desde-hortoneda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cap-de-boumort-desde-hortoneda_es.pdf,11/11/2025
27,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,Rosas,Ruta circular por el Cap de Norfeu,Paisajes pintorescos;Familias y niños;Patrimonio histórico;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","4,7 km",59.0,171.0,275m,1:40h,Collado del Canadell,Rosas,https://www.rutaspirineos.org/rutas/cap-de-norfeu-montjoi-joncols-roses,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cap-de-norfeu-montjoi-joncols-roses_es.pdf,11/11/2025
28,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,Llançà,Carrerada de Sant Pere de Rodes,"Paisajes pintorescos;Lagos, ríos y cascadas;Patrimonio histórico;Rutas circulares",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"12,4 km",0.0,357.0,520m,4:15h,Oficina de Turismo de Llançà,Llançà,https://www.rutaspirineos.org/rutas/carrerada-de-sant-pere-de-rodes-llanca,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-carrerada-de-sant-pere-de-rodes-llanca_es.pdf,11/11/2025
29,España,Cataluña,Lérida,Pallars Jussá,"Vall Fosca, Bellera y Manyanet",La Torre de Capdella,Carrilet del Estany Gento en la Vall Fosca,"Lagos, ríos y cascadas;Familias y niños;Patrimonio histórico",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"12,4 km",2.115,2.155,85m,3:00h,Teleférico Vall Fosca,La Torre de Capdella,https://www.rutaspirineos.org/rutas/carrilet-estany-gento-vall-fosca,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-carrilet-estany-gento-vall-fosca_es.pdf,11/11/2025
30,España,Cataluña,Lérida,Cerdaña (Lérida),Valle de la Cerdaña (Lérida),Lles de Cerdaña,Cascada del Molí del Salt desde Viliella,"Familias y niños;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,6 km",1.49,1.572,82m,1:10h,Iglesia de Viliella,Viliella,https://www.rutaspirineos.org/rutas/cascada-del-moli-del-salt-desde-viliella,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cascada-del-moli-del-salt-desde-viliella_es.pdf,11/11/2025
31,España,Aragón,Huesca,Sobrarbe,Valle de Pineta,Bielsa,Cascada del Cinca y cascadas de Lalarri,"Lagos, ríos y cascadas;Paisajes pintorescos;Familias y niños;Rutas circulares",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,1.279,1.69,500m,4:10h,Aparcamiento del valle de Pienta,Bielsa,https://www.rutaspirineos.org/rutas/cascadas-del-cinca-y-cascadas-de-lalarri,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cascadas-del-cinca-y-cascadas-de-lalarri_es.pdf,11/11/2025
32,España,Cataluña,Lérida,Pallars Sobirá,Valle de Siarb,Sort,Malmercat y el castillo de Arcalís desde Sort,Paisajes pintorescos;Patrimonio histórico;Rutas circulares,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"24,4 km",640.0,1.054,1.220m,7:30h,Hotel Les Brases - Sort,Sort,https://www.rutaspirineos.org/rutas/castell-arcalis-sort,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-castell-arcalis-sort_es.pdf,11/11/2025
33,España,Cataluña,Gerona,Gironés,El valle del Ter,Girona,El castillo de Sant Miquel desde Gerona,Patrimonio histórico;Familias y niños;Ascensiones media montaña,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"9,6 km",64.0,385.0,330m,2:35h,Plaza de Sant Pere de Galligants,Gerona,https://www.rutaspirineos.org/rutas/castell-de-sant-miquel-des-de-girona,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-castell-de-sant-miquel-des-de-girona_es.pdf,11/11/2025
34,España,Cataluña,Gerona,Bajo Ampurdán,Macizo del Montgrí,Torroella de Montgrí y el Estartit,Castillo del Montgrí y zona de interès natural de les Dunes,"Patrimonio histórico;Lagos, ríos y cascadas;Rutas circulares;Ascensiones media montaña",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"9,7 km",15.0,311.0,400m,3:00h,Calle Camí de les Dunes,Torroella de Montgrí,https://www.rutaspirineos.org/rutas/castell-montgri-i-zona-interes-natural-de-les-dunes,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-castell-montgri-i-zona-interes-natural-de-les-dunes_es.pdf,11/11/2025
35,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,Port de la Selva,Castillo de Sant Salvador de Verdera desde Sant Pere de Rodes,Paisajes pintorescos;Patrimonio histórico;Ascensiones media montaña,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","1,6 km",521.0,682.0,165m,0:35h,Monasterio Sant Pere de Rodes,Puerto de la Selva,https://www.rutaspirineos.org/rutas/castell-sant-salvador-de-verdera-des-de-sant-pere-de-rodes,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-castell-sant-salvador-de-verdera-des-de-sant-pere-de-rodes_es.pdf,11/11/2025
36,España,Cataluña,Barcelona,Maresme,"Sierras de Marina, Montnegre y Corredor",Argentona,El castillo de Burriac y el Camino de las Fuentes desde Argentona,Familias y niños;Rutas circulares;Patrimonio histórico,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"8,5 km",95.0,401.0,508 m,3:40 h,Parque de la Font Picant,Argentona,https://www.rutaspirineos.org/rutas/castillo-burriac-argentona,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-castillo-burriac-argentona_es.pdf,11/11/2025
37,España,Cataluña,Lérida,Pallars Jussá,Conca Dellá,Figuerola de Orcau y Orcau,Castillo de Orcau,Familias y niños;Patrimonio histórico,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","1,3 km",774.0,887.0,113m,0:45h,Plaza de arriba de Orcau,Orcau,https://www.rutaspirineos.org/rutas/castillo-de-orcau,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-castillo-de-orcau_es.pdf,11/11/2025
38,España,Cataluña,Lérida,Pallars Jussá,Montsec,Llimiana,Castillo de Sant Gervàs,Familias y niños;Patrimonio histórico;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.",3 km,845.0,990.0,150m,1:15h,Iglésia Sant Miquel de la Vall,Sant Miquel de la Vall,https://www.rutaspirineos.org/rutas/castillo-de-sant-gervas,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-castillo-de-sant-gervas_es.pdf,11/11/2025
39,España,Cataluña,Lérida,Alto Urgel,Urgellet,Cava,Cava y Querforadat en la cara norte del Cadí,Paisajes pintorescos;Patrimonio histórico;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"7,4 km",1296.0,1599.0,525m,2:30h,Cava,Cava,https://www.rutaspirineos.org/rutas/cava-querforadat-a-la-cara-nord-del-cadi,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cava-querforadat-a-la-cara-nord-del-cadi_es.pdf,11/11/2025
40,España,Cataluña,Barcelona,Osona,Collsacabra,Rupit y Pruit,El salto de Sallent y los riscos de Casadevall desde Rupit,"Paisajes pintorescos;Lagos, ríos y cascadas;Rutas circulares",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"10,5 km",675.0,926.0,400m,3:45h,Rupit,Rupit,https://www.rutaspirineos.org/rutas/cingles-de-casadevall-des-de-rupit-collsacabra,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cingles-de-casadevall-des-de-rupit-collsacabra_es.pdf,11/11/2025
41,España,Cataluña,Barcelona,Berguedá,Sierra de Ensija,Fígols,Ruta circular por los Cingles de Vallcebre,Rutas circulares;Paisajes pintorescos,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"16,25 km",956.0,1.308,900m,5:20h,Sant Corneli - H. Santa Bárbara,Sant Corneli de Cercs,https://www.rutaspirineos.org/rutas/cingles-de-vallcebre-desde-sant-corneli-de-cercs,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-cingles-de-vallcebre-desde-sant-corneli-de-cercs_es.pdf,11/11/2025
42,España,Cataluña,Lérida,Val d'Aran,Naut Aran,Salardú,Circo y lagos de Colomèrs desde el Plan des Banhs,"Paisajes pintorescos;Lagos, ríos y cascadas;Rutas circulares",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,16 km,1.755,2.237,550m,6:00h,Plan des Banhs,Salardú,https://www.rutaspirineos.org/rutas/circ-estanys-de-colomers-ruta-dels-7-llacs-val-aran,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-circ-estanys-de-colomers-ruta-dels-7-llacs-val-aran_es.pdf,11/11/2025
